Appelation,Parker,Robinson,Suckling,Prix
Pessac-Léognan,88.0,88.0,88.0,35.0
Saint-Emilion,93.0,93.0,None,38.0
Bordeaux,None,None,None,10.42
Saint-Emilion,92.0,92.0,92.0,25.5
Saint-Emilion,91.0,91.0,91.0,24.5
Saint-Estèphe,93.0,None,93.0,42.0
Haut-Médoc,None,None,90.0,21.0
Saint-Emilion,93.0,93.0,93.0,30.5
Bordeaux Blancs Secs,88.0,None,None,12.5
Saint-Estèphe,91.0,91.0,91.0,29.0
Saint-Emilion,93.0,93.0,93.0,38.0
Pomerol,89.0,89.0,89.0,39.0
Pomerol,None,None,None,38.0
Bordeaux Blancs Secs,None,None,None,22.33
Saint-Julien,91.0,91.0,91.0,32.5
Pauillac,88.0,88.0,88.0,56.0
Saint-Julien,91.0,91.0,91.0,55.0
Pomerol,93.0,None,93.0,85.0
Saint-Emilion,95.0,95.0,95.0,110.0
Pessac-Léognan,97.0,97.0,97.0,799.33
Saint-Emilion,89.0,89.0,89.0,28.5
Saint-Emilion,95.0,95.0,95.0,114.33
Pomerol,92.0,92.0,92.0,107.0
Pauillac,93.0,93.0,93.0,254.0
Pomerol,93.0,93.0,93.0,99.0
Pessac-Léognan,94.0,94.0,94.0,153.0
Haut-Médoc,None,None,None,33.5
Bordeaux,None,None,None,8.67
Saint-Emilion,88.0,88.0,88.0,21.0
Margaux,90.0,None,90.0,70.67
Margaux,93.0,93.0,93.0,52.0
Pomerol,93.0,93.0,93.0,72.83
Saint-Emilion,90.0,90.0,90.0,22.5
Pauillac,None,None,92.5,33.0
Saint-Emilion,91.0,91.0,91.0,23.5
Saint-Emilion,97.0,97.0,97.0,85.0
Pessac-Léognan,95.0,95.0,95.0,66.0
Saint-Julien,93.0,93.0,93.0,54.0
Bordeaux Blancs Secs,None,None,None,9.58
Pomerol,None,16.5,16.5,33.0
Saint-Emilion,90.0,90.0,90.0,23.0
Médoc,90.0,90.0,90.0,23.5
Saint-Emilion,87.0,87.0,87.0,20.0
Saint-Julien,94.0,94.0,94.0,63.0
Saint-Julien,94.0,94.0,94.0,89.0
Bordeaux Blancs Secs,None,14.5,None,24.0
Saint-Emilion,91.0,91.0,91.0,23.5
Saint-Emilion,93.0,93.0,93.0,36.42
Saint-Emilion,98.0,98.0,98.0,134.17
Saint-Emilion,90.5,90.5,90.5,136.2
Saint-Emilion,90.0,90.0,90.0,22.5
Saint-Emilion,92.0,92.0,92.0,24.5
Saint-Estèphe,90.0,90.0,90.0,59.0
Saint-Emilion,92.0,92.0,92.0,24.0
Lalande de Pomerol,None,17.0,17.0,20.0
Pessac-Léognan,94.0,94.0,94.0,45.5
Pessac-Léognan,92.5,92.5,92.5,91.0
Haut-Médoc,90.0,90.0,None,61.0
Saint-Estèphe,94.0,94.0,94.0,282.0
Pessac-Léognan,90.0,90.0,90.0,29.5
Saint-Emilion,86.0,86.0,86.0,19.5
Saint-Emilion,95.0,95.0,95.0,139.0
Pessac-Léognan,94.0,94.0,94.0,235.0
Saint-Emilion,None,None,None,16.0
Saint-Emilion,None,16.5,16.5,66.0
Margaux,85.0,85.0,85.0,47.0
Saint-Estèphe,92.0,92.0,92.0,62.0
Pauillac,97.0,97.0,97.0,98.0
Saint-Emilion,91.0,91.0,91.0,24.5
Saint-Emilion,89.0,89.0,89.0,93.0
Haut-Médoc,None,None,88.5,16.5
Pomerol,86.0,86.0,86.0,38.0
Pauillac,92.0,92.0,92.0,54.0
Saint-Emilion,91.0,91.0,91.0,249.0
Moulis,90.0,90.0,90.0,29.33
Canon-Fronsac,91.0,None,91.0,22.83
Puisseguin-Saint-Emilion,88.0,None,88.0,51.67
Margaux,90.0,90.0,90.0,30.17
Margaux,92.0,92.0,92.0,45.0
Pessac-Léognan,92.0,92.0,92.0,33.0
Pessac-Léognan,88.0,None,88.0,22.33
Pessac-Léognan,92.0,92.0,92.0,34.33
Barsac,94.0,94.0,None,124.83
